name,category,url
Teal V-Neck Wrapped Jumpsuit,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_V-Neck_Wrapped_Jumpsuit_br57nq.png
Teal Sleeveless Maxi Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_Sleeveless_Maxi_Dress_m3klv4.png
Teal sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_sweater_zg1qq8.jpg
teal shorts,Shorts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/teal_shorts_m33dub.jpg
Teal Midi Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_Midi_Skirt_qrep7g.png
Taupe Wedge Sandals,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954620/Taupe_Wedge_Sandals_qpypeu.png
Teal Chambray,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_Chambray_odcv34.jpg
Teal Graphic Tee,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954621/Teal_Graphic_Tee_fljwl6.jpg
Teal Cargo Pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954620/Teal_Cargo_Pants_who1ly.jpg
Taupe Sneakers,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954620/Taupe_Sneakers_yogepv.png
Taupe Slacks,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954620/Taupe_Slacks_dg7h1b.jpg
Taupe Pencil Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954612/Taupe_Pencil_Skirt_qcnsly.png
Taupe Collared Shirt Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954610/Taupe_Collared_Shirt_Dress_kc8lqz.png
Taupe Parka,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954610/Taupe_Parka_cquvzu.png
Taupe Crossbody Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954609/Taupe_Crossbody_Bag_kxlghf.png
Taupe Bomber Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954609/Taupe_Bomber_Jacket_uxnsw3.png
Tan Wide Leg,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954609/Tan_Wide_Leg_ggicvj.jpg
Tan Trench Coat,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954594/Tan_Trench_Coat_wacl0d.png
Tan Leather Handbag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954586/Tan_Leather_Handbag_xhuwa3.png
Tan Brogues,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954586/Tan_Brogues_vf9htw.png
Tan Leather Belt,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954586/Tan_Leather_Belt_xsc4kd.png
Tan Bomber Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954586/Tan_Bomber_Jacket_npdsas.png
Tan Block Heels,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954585/Tan_Block_Heels_pvao4c.png
stone washed jeans,Jeans & Denim,https://res.cloudinary.com/dipchhasm/image/upload/v1760954585/stone_washed_jeans_edmnco.jpg
Stone V-Neck Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954585/Stone_V-Neck_Top_tsz58c.jpg
Stone Tote Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954585/Stone_Tote_Bag_hdyzux.png
Stone turtleneck,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954585/Stone_turtleneck_yyhf1a.jpg
